Publication Title,PMID,Number of patients,Type of intervention,Drug(s)/Vaccine(s) - if used,"Start date
(if known)","End date 
(if known)","Duration
(in days)",Meta-analysis (Y/N),Type of trial,Retrospective/ Prospective,Geographic location,Date of publication
"A quickly, effectively screening process of novel corona virus disease 2019 (COVID-19) in children in Shanghai, China",32309388,56,Other,,19-Jan-20,12-Feb-20,25,No,,,"Shanghai, China",10-Mar-20
SARS-CoV-2 Viral Load in Upper Respiratory Specimens of Infected Patients,32074444,14,Other,,7-Jan-20,26-Jan-20,20,No,,,"Zhuhai, Guangdong, China",19-Mar-20
Therapeutic Anticoagulation Delays Death in COVID-19 Patients: Cross-Sectional Analysis of a Prospective Cohort,32995704,750,Drug(s),Anticoagulants | Corticosteroid,13-Mar-20,8-Apr-20,27,No,"Single-center, cross-sectional analysis",Prospective ,"Michigan, USA",26-Sep-20
Severe ischemic complications in Covid-19-A case series.,32934901,5,Other,,1-Apr-20,1-Jun-20,62,No,Observational study ,Retrospective,Kuwait,10-Sep-20
Pediatric patients with COVID-19 admitted to intensive care units in Brazil: a prospective multicenter study.,32781034,79,Other | Oxygen support,,1-Mar-20,31-May-20,92,No,"Multicenter, observational study",Prospective ,Brazil,4-Aug-20
Analysis of Glucose Levels in Patients Hospitalized With COVID-19 During the First Phase of This Pandemic in West Texas.,32924762,63,Other,,1-Mar-20,15-May-20,o,No,,,"Texas, USA",13-Sep-20
"Clinical characteristics and outcome in patients with combined diabetic ketoacidosis and hyperosmolar hyperglycemic state associated with COVID-19: A retrospective, hospital-based observational case series",32592843,6,Other,,20-Mar-20,20-Apr-20,32,No,Observational case series,Retrospective,,25-Jun-20
A retrospective study of the initial chest CT imaging findings in 50 COVID-19 patients stratified by gender and age.,32804112,50,Other,,,,,No,Study analysis,Retrospective,China,19-Sep-20
Dynamic CT assessment of disease change and prognosis of patients with moderate COVID-19 pneumonia.,32741802,33,Other,,15-Jan-20,5-Mar-20,51,No,,Retrospective,"Jiangxi, China",19-Sep-20
A case series of coinfection with SARS-CoV-2 and influenza virus in Louisiana.,32923361,4,Other,,27-Mar-20,18-Apr-20,23,No,Case series,Retrospective,"Louisiana, USA",9-Sep-20
"Clinical course and findings of 14 patients with COVID-19 compared with 5 patients with conventional human coronavirus pneumonia.",32874906,16,Drug(s) | IVIG | Other | Oxygen support,Empirical antibiotics | Empirical Antivirals,,,,No,,Retrospective,"Saitama, Japan",27-Aug-20
"Clinical Characteristics of Patients with Severe Pneumonia Caused by the SARS-CoV-2 in Wuhan, China.",32841948,110,Other,,1-Jan-20,10-Feb-20,41,No,Cross-sectional study,Retrospective,"Wuhan, China",25-Aug-20
Dexamethasone in severe COVID-19 infection: A case series.,32874905,5,Drug(s) | Oxygen support,Dexamethasone,,,,No,Case series,,"Manama, Bahrain",28-Aug-20
Clinical Characteristics of Metastatic Prostate Cancer Patients Infected with COVID-19 in South Italy.,32570240,72,Other,,1-Mar-20,27-Mar-20,27,No,,Retrospective/prospective (combined),Italy,22-Jun-20
IMPACT OF COMORBIDITIES IN MEXICAN SARS-COV-2-POSITIVE PATIENTS: A RETROSPECTIVE ANALYSIS IN A NATIONAL COHORT.,32584330,"13,842",None/Observatory,,1-Jan-20,25-Apr-20,116,Yes,National cohort,Retrospective,"Mexico City, Mexico",25-May-20
Pharmacological characteristics of patients infected with SARS-Cov-2 admitted to Intensive Care Unit in South of France.,32425250,96,Other,,10-Mar-20,21-Apr-20,43,No,Case series,,France ,15-May-20
"Outcomes of 3,737 COVID-19 patients treated with hydroxychloroquine/azithromycin and other regimens in Marseille, France: A retrospective analysis.",32593867,"3,737",Drug(s) | Other,Hydroxychloroquine | Azithromycin,3-Mar-20,27-Apr-20,56,No,Study analysis,Retrospective,"Marseille, France",25-Jun-20
"Early treatment of COVID-19 patients with hydroxychloroquine and azithromycin: A retrospective analysis of 1061 cases in Marseille, France",32387409,"1,061",Drug(s) | Other,Hydroxychloroquine | Azithromycin,3-Mar-20,31-Mar-20,29,No,Study analysis,Retrospective,"Marseille, France",5-May-20
Clinical features of the first cases and a cluster of Coronavirus Disease 2019 (COVID-19) in Bolivia imported from Italy and Spain.,32247926,152,Other,,2-Mar-20,15-Mar-20,14,No,"Cross-sectional, observational study",Retrospective,Bolivia ,2-Apr-20
"Rapid viral diagnosis and ambulatory management of suspected COVID-19 cases presenting at the infectious diseases referral hospital in Marseille, France, - January 31st to March 1st, 2020: A respiratory virus snapshot.",32205269,280,Other,,31-Jan-20,1-Mar-20,31,No,,,"Marseille, France",20-Mar-20
Severe Acute Respiratory Syndrome Coronavirus 2 Neutralizing Antibody Titers in Convalescent Plasma and Recipients in New Mexico: An Open Treatment Study in Patients With Coronavirus Disease 2019.,32779705,12,Plasma,,11-May-20,29-May-20,19,No,Single-arm interventional trial,,"New Mexico, USA",11-Aug-20
Convalescent plasma or hyperimmune immunoglobulin for people with COVID-19: a living systematic review.,33044747,"38,160",None/Observatory,,,,,Yes,Systematic review,,,12-Oct-20
Convalescent plasma for patients with severe COVID-19: a matched cohort study.,33038227,241,Plasma,,,,,No,Cohort study,,"Rhode Island, USA",10-Oct-20
The efficacy assessment of convalescent plasma therapy for COVID-19 patients: a multi-center case series.,33024082,8,Plasma | Drug(s),Lopinavir/ritonavir | Arbidol | Darunavir | Interferon α1β | Moxifloxacin | Thymosin,,,,No,"Multi-center, observational case series",Retrospective,"Chongqing, China",6-Oct-20
Clinical predictors of donor antibody titer and correlation with recipient antibody response in a COVID-19 convalescent plasma clinical trial.,33034095,103,Plasma,,10-Apr-20,17-May-20,38,No,Open label clinical study,Prospective,"Illinois, USA",9-Oct-20
Characterization of 100 sequential SARS-CoV-2 convalescent plasma donations.,32978802,100,Other,,,,,No,Case report,,"Vienna, Austria",25-Sep-20
Convalescent plasma for the treatment of patients with severe coronavirus disease 2019: A preliminary report,32965715,40,Other,,,,,No,Preliminary report,Retrospective,"Doha, Qatar",23-Sep-20
Factors Associated with Good Patient Outcomes Following Convalescent Plasma in COVID-19: A Prospective Phase II Clinical Trial.,32951151,38,None/Observatory,,20-Apr-20,8-Jun-20,50,No,Phase II Clinical Trial,Prospective,"Connecticut, USA",20-Sep-20
Impact of interleukin-6 blockade with tocilizumab on SARS-CoV-2 viral kinetics and antibody responses in patients with COVID-19: A prospective cohort study.,32950003,138,Drug(s),Tocilizumab,10-Mar-20,17-Apr-20,39,No,Cohort study,Prospective,"Alicante, Spain",16-Sep-20
Analysis of Risk Factors for 24 Patients With COVID-19 Developing From Moderate to Severe Condition.,33042873,65,Drug(s) | Other,Empirical Antivirals,1-Jan-20,20-Feb-20,51,No,Study analysis,,"Bengbu, China",15-Sep-20
"Clinical characteristics of family-clustered onset of coronavirus disease 2019 in Jilin Province, China",32930632,8,Other,,28-Jan-20,5-Feb-20,9,No,Review article,Retrospective,"Changchun, China",15-Sep-20
Exploration of turn-positive RT-PCR results and factors related to treatment outcome in COVID-19: A retrospective cohort study,32921249,116,Other,,1-Jan-20,1-Mar-20,61,No,Cohort study,Retrospective,"Wuhan, China",13-Sep-20
"Corticosteroid prevents COVID-19 progression within its therapeutic window: a multicentre, proof-of-concept, observational study",32795143,311,Drug(s) | Other,Corticosteroid,20-Jan-20,13-Feb-20,25,No,Multicenter clinical study,Retrospective,"Shanghai, China",21-Aug-20
"Characteristics of asymptomatic COVID-19 infection and progression: A multicenter, retrospective study",32722990,"1,568",Other,,17-Jan-20,30-Mar-20,74,No,Multicenter study,Retrospective,"Wuhan, China",12-Aug-20
"Epidemiology and clinical course of COVID-19 in Shanghai, China",32573353,325,Drug(s) | Other,Empirical Antivirals | Glucocorticoid | Oxygen support,20-Jan-20,29-Feb-20,41,No,Study analysis,Retrospective,"Shanghai, China",7-Jul-20
Viral loads in throat and anal swabs in children infected with SARS-CoV-2,32419639,"2,138",Other,,1-Jan-20,18-Mar-20,78,No,Case series,Retrospective,"Wuhan, China",9-Jun-20
Clinical characteristics and treatment of critically ill patients with COVID-19 in Hebei,32692230,51,Drug(s) | Oxygen support | IVIG,Empirical antibiotics | Interferon-α | Methylprednisolone | Traditional Chinese medicine | Lopinavir/ritonavir | Arbidol | Immunoglobulin (IVIG) | Oseltamivir ,22-Jan-20,25-Mar-20,64,No,"Multicenter, observational trial ",Retrospective,"Hebei, China",9-Jul-20
"Clinical characteristics and outcomes among hospitalized adults with severe COVID-19 admitted to a tertiary medical center and receiving antiviral, antimalarials, glucocorticoids, or immunomodulation with tocilizumab or cyclosporine: A retrospective observational study (COQUIMA cohort)",33078138,607,Drug(s) | Other,Hydroxychloroquine | Tocilizumab | Lopinavir/ritonavir | Cyclosporine A | Glucocorticoids,10-Mar-20,15-Apr-20,37,No,"Observational, longitudinal, cohort study",Retrospective,"Madrid, Spain",15-Oct-20
"A novel risk score to predict cardiovascular complications in patients with coronavirus disease 2019 (COVID-19): A retrospective, multicenter, observational study",32969605,845,Other,,14-Jan-20,9-Mar-20,56,No,"Multicenter, observational study",Retrospective,"Sichuan, China",24-Sep-20
Effect of Recombinant Human Granulocyte Colony-Stimulating Factor for Patients With Coronavirus Disease 2019 (COVID-19) and Lymphopenia: A Randomized Clinical Trial,32910179,200,Other,,18-Feb-20,10-Apr-20,53,No,"Open-label, multicenter, randomized clinical trial",,China,10-Sep-20
"Effectiveness of remdesivir in patients with COVID-19 under mechanical ventilation in an Italian ICU",32829390,51,Drug(s),Remdesivir,29-Feb-20,20-Mar-20,21,No,Cohort study,Retrospective,"Pesaro, Italy",23-Aug-20
"Early Transmission Dynamics in Wuhan, China, of Novel Coronavirus-Infected Pneumonia",31995857,425,Other,,1-Jan-20,22-Jan-20,22,No,Preliminary analysis,,"Hubei, China",26-Mar-20
Immune system changes during COVID-19 recovery play key role in determining disease severity,33076729,97,Other,,1-Mar-20,1-Apr-20,32,No,"Observational, cohort study",,"Isfahan, Iran",19-Oct-20
Prevalence and Risk Factors of Thromboembolism among Patients With Coronavirus Disease-19: A Systematic Review and Meta-Analysis,33074717,"2,520",None/Observatory,,20-Jun-20,10-Aug-20,52,Yes,Systematic Review,,"Amhara, Ethiopia",19-Oct-20
CLINICAL AND EPIDEMIOLOGICAL CHARACTERISTICS OF PATIENTS DIAGNOSED WITH COVID-19 IN A TERTIARY CARE CENTER IN MEXICO CITY: A PROSPECTIVE COHORT STUDY,33064701,309,Other,,26-Feb-20,11-Apr-20,46,No,Cohort study,Prospective,"Mexico City, Mexico",6-Jul-20
Assessing the Elevation of Cardiac Biomarkers and the Severity of COVID-19 Infection: A Meta-analysis,33086028,"5,626",None/Observatory,,1-Dec-19,10-Jul-20,223,Yes,Meta-analysis,,USA,24-Oct-20
Hospitalized COVID-19 patients treated with convalescent plasma in a mid-size city in the Midwest,33072871,31,Plasma,,12-Apr-20,2-Jun-20,52,No,,Retrospective,"Madison, Wisconsin, USA",12-Oct-20
Oxygen therapy via high flow nasal cannula in severe respiratory failure caused by Sars-Cov-2 infection: a real-life observational study,33070706,59,Oxygen support | Other,,27-Mar-20,25-Jun,91,No,Observational study,Retrospective,"Catanzaro, Italy",18-Oct-20
Convalescent Plasma for the Treatment of Severe COVID-19 Infection in Cancer Patients,32945149,24,Plasma,,11-Apr-20,10-May-20,30,No,Case series,,"New York, USA",17-Sep-20
The use of intravenous immunoglobulin gamma for the treatment of severe coronavirus disease 2019: a randomized placebo-controlled double-blind clinical trial,33087047,59,IVIG,,9-May-20,9-Jun-20,32,No,Randomized placebo-controlled double-blind clinical trial,Retrospective,Iran,21-Oct-20
Prevalence of Severe Acute Respiratory Syndrome Coronavirus 2 Neutralizing Antibodies in Egyptian Convalescent Plasma Donors,33329484,227,Other,,,,,No,,Case study,Egypt,24-Nov-20
"Treating COVID-19 With Hydroxychloroquine (TEACH): A Multicenter, Double-Blind Randomized Controlled Trial in Hospitalized Patients",33134417,128,Drug(s) I other,Hydroxychloroquine,17-Apr-20,12-May-20,26,No,"Multicenter, double-blind randomized clinical",,"New York, USA",23-Sep-20
Characterization of antibody responses to SARS-CoV-2 in convalescent COVID-19 patients,33135795,52,Other,,,,,No,,,China,2-Nov-20
"Clinical progression and changes of chest CT findings among asymptomatic and pre-symptomatic patients with SARS-CoV-2 infection in Wuhan, China",33135909,109,Other,,20-Dec-19,8-Mar-20,80,No,,Retrospective ,"Wuhan, China",2-Nov-20
Clinical Characteristics and Outcomes of COVID-19-Infected Cancer Patients: A Systematic Review and Meta-Analysis,33136163,"3,019",None/Observatory,,,,,Yes,Systematic Review and Meta-Analysis,,"New York, USA",2-Nov-20
Remdesivir for the Treatment of Severe COVID-19: A Community Hospital's Experience,33136164,76,Drug(s),Remdesivir,1-May-20,19-Aug-20,111,No,,Retrospective ,"Arizona, USA",1-Dec-20
Using Anti-SARS-CoV-2 IgG and IgM Antibodies to Detect Outpatient Cases with Olfactory and Taste Disorders Suspected as Mild Form of COVID-19: a Retrospective Survey,33169109,108,Other,,1-Mar-20,1-Apr-20,32,No,Cross-sectional study,Retrospective ,Iran ,3-Nov-20
"Clinical experience with SARS CoV-2 related illness in children - hospital experience in Cape Town, South Africa",33170927,159,Other,,17-Apr-20,24-Jul-20,99,No,Observational cohort study,,South Africa,10-Nov-20
Why will it never be known if convalescent plasma is effective for COVID-19,33169114,792,None/Observatory,,,,,Yes,Systematic review,,"Bogota, Colombia",4-Nov-20
"Pulmonary embolism in COVID-19 patients: prevalence, predictors and clinical outcome",33271421,224,Other,,28-Feb-20,20-Apr-20,53,No,Multi-center observational study,Retrospective ,Italy,17-Nov-20
"Epidemiological Features of 105 Patients Infected with the COVID-19",33268103,105,Other,,17-Jan-20,20-Feb-20,35,No,,Retrospective ,"Wenzhou, China",23-Oct-20
"Risk and Severity of COVID-19 and ABO Blood Group in Transcatheter Aortic Valve Patients",33266474,702,Other,,,,,No,Observational investigational study,Retrospective ,"Strasbourg, France",22-Nov-20
CLINICAL MANIFESTATIONS OF CHILDREN AND ADOLESCENTS WITH COVID-19: REPORT OF THE FIRST 115 CASES FROM SABARÁ HOSPITAL INFANTIL,33263697,115,Other,,1-Mar-20,30-Jun-20,122,No,"Cross-sectional, observational study.",Retrospective ,"São Paulo, Brazil",27-Nov-20
Clinical Role of Lung Ultrasound for the Diagnosis and Prognosis of Coronavirus Disease Pneumonia in Elderly Patients: A Pivotal Study,33271558,37,Other,,,,,No,,Prospective ,"Bologna, Italy",3-Dec-20
"Association between Prolonged Intermittent Renal Replacement Therapy and All-Cause Mortality in COVID-19 Patients Undergoing Invasive Mechanical Ventilation: A Retrospective Cohort Study",33271549,36,Drug(s) | other,Moxifloxacin hydrochloride | Abidol  | Lopinavir/ritonavir | Hydroxychloroquine |Empirical antibiotics | Empirical antiviral | Antifungl | Traditional Chinese medicine | Glucocorticoid | Human albumin | Gamma globulin | Heparin,12-Feb-20,2-Mar-20,20,No,Cohort Study,Retrospective ,"Wuhan, China,",3-Dec-20
The characteristic peripheral blood morphological features of hospitalized patients infected with COVID-19,33270978,102,Other,,3-Aug-20,21-Aug-20,19,No,Cohort Study,,"Johannesburg, South Africa.",3-Dec-20
Characteristics associated with COVID-19 or other respiratory viruses’ infections at a single-center emergency department,33270790,"1,104",Other,,18-Nov-19,2-Mar-20,106,No,Cohort Study,Prospective ,"Paris, France",3-Dec-20
U-shaped-aggressiveness of SARS-CoV-2: Period between initial symptoms and clinical progression to COVID-19 suspicion. A population-based cohort study,33270769,"65,500",Other,,1-Jan-20,25-Apr-20,116,Yes,A population-based cohort study,,"Mexico City, Mexico",3-Dec-20
"Epidemiology, outcomes, and the use of intensive care unit resources of critically ill patients diagnosed with COVID-19 in Sao Paulo, Brazil: A cohort study",33270741,212,Other,,1-Mar-20,1-Jun-20,93,No,Cohort study,Retrospective ,"Sao Paulo, Brazil",3-Dec-20
